run,rc,stress,correlation
4.0,0.26,0.0455873747118,0.83100083586
5.0,0.26,0.0472094650503,0.833394579033
1.0,0.27,0.0528441791381,0.830127896367
2.0,0.27,0.0514104163541,0.824903403807
3.0,0.27,0.0536857925298,0.83815944175
4.0,0.27,0.0514895567224,0.829946210064
5.0,0.27,0.0507209167956,0.82225134063
1.0,0.28,0.0595085217357,0.831882842067
2.0,0.28,0.0568162694123,0.826401888511
3.0,0.28,0.0549721007958,0.830930633286
4.0,0.28,0.0583342332984,0.827707368225
5.0,0.28,0.0571270919545,0.8229210563
1.0,0.29,0.0676689293691,0.81547689088
2.0,0.29,0.060756381025,0.832852696909
3.0,0.29,0.062420963796,0.809618975784
4.0,0.29,0.0628461914329,0.821997012284
5.0,0.29,0.0654159649166,0.841308871983
1.0,0.3,0.0682891312197,0.834366184824
2.0,0.3,0.0710659417331,0.828866237162
3.0,0.3,0.0671226386707,0.832894826452
4.0,0.3,0.068812657631,0.823457528271
5.0,0.3,0.070289795686,0.8446679927
1.0,0.31,0.0744937596918,0.825360053949
2.0,0.31,0.0754934816126,0.816123599788
3.0,0.31,0.0755713823958,0.837324279636
4.0,0.31,0.0755733431444,0.82335307022
5.0,0.31,0.0761039002321,0.832530727372
1.0,0.32,0.0789533146277,0.832340261535
2.0,0.32,0.0826218752238,0.829108889886
3.0,0.32,0.0790933429414,0.828922076109
4.0,0.32,0.0786878913699,0.819159725754
5.0,0.32,0.0854745239897,0.826415086744
1.0,0.33,0.0841176462533,0.827592047874
2.0,0.33,0.0824252951073,0.816919888658
3.0,0.33,0.0920101802435,0.83397364669
4.0,0.33,0.0836794437114,0.826971274127
5.0,0.33,0.0857344043779,0.828792267199
1.0,0.34,0.0928038924423,0.826264022537
2.0,0.34,0.0890247157271,0.82933604852
3.0,0.34,0.0939541114015,0.846037101635
4.0,0.34,0.0891853590937,0.814565469992
5.0,0.34,0.0861251245438,0.828548875298
1.0,0.35,0.097890961528,0.827940060773
2.0,0.35,0.0966904760832,0.829476542935
3.0,0.35,0.091758864499,0.809976382501
4.0,0.35,0.0929111392428,0.814578762845
5.0,0.35,0.0919839637578,0.819363100961
1.0,0.36,0.0970968056938,0.829234085876
2.0,0.36,0.0966269443629,0.823118565823
3.0,0.36,0.0954669732512,0.816429040165
4.0,0.36,0.0986045879604,0.820770069989
5.0,0.36,0.099140625026,0.80969586518
1.0,0.37,0.102519180959,0.806042893598
2.0,0.37,0.0960541347118,0.819669589279
3.0,0.37,0.0988742700183,0.802878928525
4.0,0.37,0.0999039543166,0.81152630979
5.0,0.37,0.0991217875143,0.81436309979
1.0,0.38,0.0994896635835,0.80834890287
2.0,0.38,0.100624321122,0.813980058807
3.0,0.38,0.101086363512,0.802002278143
4.0,0.38,0.10217832894,0.809959641239
5.0,0.38,0.102554052938,0.821556131445
1.0,0.39,0.0989224767292,0.809168996011
