run,r_neighbor,n_iter,stress,correlation
3.0,0.22,5000.0,0.0244937176089,0.779243476838
4.0,0.22,5000.0,0.0220152572544,0.781704083588
5.0,0.22,5000.0,0.021754623757,0.782356402071
1.0,0.23,5000.0,0.026411703729,0.765170883579
2.0,0.23,5000.0,0.0301229410963,0.795060112267
3.0,0.23,5000.0,0.0278161316182,0.780609197594
4.0,0.23,5000.0,0.027435822028,0.808572613698
5.0,0.23,5000.0,0.0256869449575,0.800628200948
1.0,0.24,5000.0,0.0359256156734,0.823900531666
2.0,0.24,5000.0,0.0296649361089,0.792523087213
3.0,0.24,5000.0,0.0364503821029,0.813742597779
4.0,0.24,5000.0,0.0322516455115,0.810909189688
5.0,0.24,5000.0,0.0326327742653,0.830540672572
1.0,0.25,5000.0,0.0397548001515,0.842518954918
2.0,0.25,5000.0,0.0404503423299,0.811134213633
3.0,0.25,5000.0,0.041449683477,0.808800341624
4.0,0.25,5000.0,0.0399537922482,0.826940173292
5.0,0.25,5000.0,0.0407017898304,0.843121261573
1.0,0.26,5000.0,0.0408727229952,0.82947785777
2.0,0.26,5000.0,0.0442316075914,0.814118225388
3.0,0.26,5000.0,0.0514494438598,0.822157171408
4.0,0.26,5000.0,0.0464259827947,0.837320737283
5.0,0.26,5000.0,0.047346646032,0.818793201728
1.0,0.27,5000.0,0.0499665905805,0.816664410775
2.0,0.27,5000.0,0.054406887131,0.835092665733
3.0,0.27,5000.0,0.0494358547631,0.827178693224
4.0,0.27,5000.0,0.0512400020675,0.81025599733
5.0,0.27,5000.0,0.0514395829378,0.848836655036
1.0,0.28,5000.0,0.0613277731605,0.832215652992
2.0,0.28,5000.0,0.0527326736137,0.816878925616
3.0,0.28,5000.0,0.0598112164958,0.82227282818
4.0,0.28,5000.0,0.0563356239558,0.827401303189
5.0,0.28,5000.0,0.063284652098,0.833004851908
1.0,0.29,5000.0,0.0678082699569,0.811537059043
2.0,0.29,5000.0,0.0616583983143,0.839800937766
3.0,0.29,5000.0,0.0627452372426,0.8503723066
4.0,0.29,5000.0,0.0565705363028,0.839219715228
5.0,0.29,5000.0,0.076552330595,0.815606195569
1.0,0.3,5000.0,0.0633504514649,0.836578915491
2.0,0.3,5000.0,0.0660029435977,0.846514449365
3.0,0.3,5000.0,0.071562351481,0.84650942845
4.0,0.3,5000.0,0.0660392371988,0.824467602347
5.0,0.3,5000.0,0.0732834862991,0.84258173428
1.0,0.31,5000.0,0.0786849033267,0.827894315818
2.0,0.31,5000.0,0.084406411643,0.828663326788
3.0,0.31,5000.0,0.0766398508375,0.836995325668
4.0,0.31,5000.0,0.0723746288291,0.825386161755
5.0,0.31,5000.0,0.0756739604581,0.834572526846
1.0,0.32,5000.0,0.0818256084814,0.828747949535
2.0,0.32,5000.0,0.0848126761971,0.810912677917
3.0,0.32,5000.0,0.0850792487972,0.843994231589
4.0,0.32,5000.0,0.0745056084125,0.786895577045
